season,name,balls_faced,boundary_count,boundary_percent
2015,LMP Simmons,455,77,16.92
2015,M Morkel,3,0,0.0
2015,M Vijay,233,35,15.02
2015,M Vohra,83,9,10.84
2015,MA Agarwal,187,30,16.04
2015,MA Starc,14,1,7.14
2015,MC Henriques,216,32,14.81
2015,MEK Hussey,73,8,10.96
2015,MG Johnson,38,2,5.26
2015,MJ McClenaghan,6,2,33.33
2015,MK Pandey,187,29,15.51
2015,MK Tiwary,58,9,15.52
2015,MM Sharma,18,3,16.67
2015,MS Bisla,30,7,23.33
2015,MS Dhoni,309,44,14.24
2015,Mandeep Singh,102,23,22.55
2015,NJ Maddinson,7,1,14.29
2015,NLTC Perera,15,1,6.67
2015,NM Coulter-Nile,20,3,15.0
2015,NV Ojha,126,16,12.7
2015,P Kumar,25,1,4.0
2015,P Negi,77,15,19.48
2015,PA Patel,255,52,20.39
2015,PJ Cummins,2,0,0.0
2015,PP Chawla,49,7,14.29
2015,PV Tambe,5,0,0.0
2015,Parvez Rasool,2,0,0.0
2015,Q de Kock,78,22,28.21
2015,R Ashwin,34,7,20.59
2015,R Bhatia,1,0,0.0
2015,R Dhawan,33,4,12.12
2015,R Vinay Kumar,2,0,0.0
2015,RA Jadeja,128,10,7.81
2015,RG More,2,0,0.0
2015,RG Sharma,339,62,18.29
2015,RN ten Doeschate,45,7,15.56
2015,RR Rossouw,10,2,20.0
2015,RS Bopara,121,12,9.92
2015,RV Uthappa,287,49,17.07
2015,S Aravind,1,0,0.0
2015,S Dhawan,293,51,17.41
2015,S Gopal,1,0,0.0
2015,S Nadeem,7,0,0.0
2015,SA Abbott,13,2,15.38
2015,SA Yadav,115,20,17.39
2015,SE Marsh,65,13,20.0
2015,SK Raina,319,47,14.73
2015,SL Malinga,11,1,9.09
2015,SN Khan,72,14,19.44
2015,SN Thakur,6,1,16.67
2015,SP Narine,1,0,0.0
2015,SPD Smith,228,37,16.23
2015,SR Watson,270,51,18.89
2015,SS Iyer,360,62,17.22
2015,SS Tiwary,83,14,16.87
2015,STR Binny,69,8,11.59
2015,SV Samson,166,24,14.46
2015,Sandeep Sharma,14,1,7.14
2015,Shakib Al Hasan,32,5,15.62
2015,TG Southee,9,1,11.11
2015,UBT Chand,89,15,16.85
2015,UT Yadav,16,6,37.5
2015,V Kohli,395,58,14.68
2015,V Sehwag,89,15,16.85
2015,VR Aaron,3,1,33.33
2015,WP Saha,205,26,12.68
2015,YK Pathan,243,41,16.87
